,run,episode,game type,agent,reward,penalty,share_cooperators,successful_sanction_c,successful_sanction_d,C-,D-,CC,CD,DC,DD
1,0,0,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
101,0,100,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
201,0,200,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
301,0,300,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
401,0,400,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
501,0,500,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
601,0,600,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
701,0,700,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
801,0,800,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
901,0,900,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1001,0,1000,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1101,0,1100,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1201,0,1200,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1301,0,1300,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1401,0,1400,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1501,0,1500,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1601,0,1600,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1701,0,1700,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1801,0,1800,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
1901,0,1900,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2001,0,2000,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2101,0,2100,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2201,0,2200,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2301,0,2300,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2401,0,2400,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2501,0,2500,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2601,0,2600,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2701,0,2700,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2801,0,2800,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
2901,0,2900,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3001,0,3000,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3101,0,3100,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3201,0,3200,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3301,0,3300,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3401,0,3400,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3501,0,3500,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3601,0,3600,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3701,0,3700,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3801,0,3800,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
3901,0,3900,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
4000,0,3999,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
4001,1,0,CH penalties False,sum,0,-2,0.0,0,0,0,2,0,0,0,0
4101,1,100,CH penalties False,sum,0,-2,0.0,0,0,0,2,0,0,0,0
4201,1,200,CH penalties False,sum,6,-2,1.0,0,0,2,0,0,0,0,0
4301,1,300,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
4401,1,400,CH penalties False,sum,0,-2,0.0,0,0,0,2,0,0,0,0
4501,1,500,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
4601,1,600,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
4701,1,700,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
4801,1,800,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
4901,1,900,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
5001,1,1000,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
5101,1,1100,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
5201,1,1200,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
5301,1,1300,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
5401,1,1400,CH penalties False,sum,5,-2,0.5,0,0,1,1,0,0,0,0
