,run,episode,game type,agent,reward,penalty,share_cooperators,successful_sanction_c,successful_sanction_d,C-,D-,CC,CD,DC,DD
1,0,0,NPIPD penalties False,sum,400.0,-70,,0,0,20,12,0,0,0,0
101,0,100,NPIPD penalties False,sum,100.0,-70,,0,0,10,22,0,0,0,0
201,0,200,NPIPD penalties False,sum,289.0,-70,,0,0,17,15,0,0,0,0
301,0,300,NPIPD penalties False,sum,64.0,-70,,0,0,8,24,0,0,0,0
401,0,400,NPIPD penalties False,sum,16.0,-70,,0,0,4,28,0,0,0,0
501,0,500,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
601,0,600,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
701,0,700,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
801,0,800,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
901,0,900,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1001,0,1000,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1101,0,1100,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1201,0,1200,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1301,0,1300,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1401,0,1400,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
1501,0,1500,NPIPD penalties False,sum,16.0,-70,,0,0,4,28,0,0,0,0
1601,0,1600,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1701,0,1700,NPIPD penalties False,sum,9.0,-70,,0,0,3,29,0,0,0,0
1801,0,1800,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
1901,0,1900,NPIPD penalties False,sum,256.0,-70,,0,0,16,16,0,0,0,0
2001,0,2000,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
2101,0,2100,NPIPD penalties False,sum,36.0,-70,,0,0,6,26,0,0,0,0
2201,0,2200,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
2301,0,2300,NPIPD penalties False,sum,49.0,-70,,0,0,7,25,0,0,0,0
2401,0,2400,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
2501,0,2500,NPIPD penalties False,sum,16.0,-70,,0,0,4,28,0,0,0,0
2601,0,2600,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
2701,0,2700,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
2801,0,2800,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
2901,0,2900,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
3001,0,3000,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
3101,0,3100,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
3201,0,3200,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
3301,0,3300,NPIPD penalties False,sum,9.0,-70,,0,0,3,29,0,0,0,0
3401,0,3400,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
3501,0,3500,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
3601,0,3600,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
3701,0,3700,NPIPD penalties False,sum,1.0,-70,,0,0,1,31,0,0,0,0
3801,0,3800,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
3901,0,3900,NPIPD penalties False,sum,16.0,-70,,0,0,4,28,0,0,0,0
4000,0,3999,NPIPD penalties False,sum,0.0,-70,,0,0,0,32,0,0,0,0
4001,1,0,NPIPD penalties False,sum,169.0,-70,,0,0,13,19,0,0,0,0
