,run,episode,game type,agent,reward,penalty,share_cooperators,successful_sanction_c,successful_sanction_d,C-,D-,CC,CD,DC,DD
1,0,0,NPIPD penalties True,sum,1764.0,-160,,13,9,16,4,13,13,9,9
101,0,100,NPIPD penalties True,sum,900.0,-160,,7,11,8,9,11,11,9,16
201,0,200,NPIPD penalties True,sum,576.0,-160,,7,12,6,6,8,10,19,15
301,0,300,NPIPD penalties True,sum,576.0,-160,,4,15,5,7,5,14,11,22
401,0,400,NPIPD penalties True,sum,784.0,-160,,2,23,2,5,3,23,3,28
501,0,500,NPIPD penalties True,sum,2500.0,-160,,5,12,0,0,5,45,2,12
601,0,600,NPIPD penalties True,sum,3600.0,-160,,9,4,0,0,6,54,3,1
701,0,700,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
801,0,800,NPIPD penalties True,sum,3721.0,-160,,9,3,0,0,7,54,3,0
901,0,900,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
1001,0,1000,NPIPD penalties True,sum,3721.0,-160,,7,1,0,0,7,54,3,0
1101,0,1100,NPIPD penalties True,sum,3721.0,-160,,9,3,0,0,7,54,3,0
1201,0,1200,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
1301,0,1300,NPIPD penalties True,sum,3721.0,-160,,8,3,0,0,7,54,3,0
1401,0,1400,NPIPD penalties True,sum,3721.0,-160,,9,3,0,0,7,54,3,0
1501,0,1500,NPIPD penalties True,sum,3721.0,-160,,9,3,0,0,7,54,3,0
1601,0,1600,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
1701,0,1700,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
1801,0,1800,NPIPD penalties True,sum,3721.0,-160,,9,2,0,0,7,54,3,0
1901,0,1900,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
2001,0,2000,NPIPD penalties True,sum,3721.0,-160,,10,3,0,0,7,54,3,0
